Date,Real GDP (GDPC1),Nominal GDP (GDP),Consumer Price Index,Currency in Circulation
1986-10-01,0.029081512389265374,0.04804871364107077,-0.7543103448276188,0.06984126984126982
1987-01-01,0.02716134287067362,0.04753039889580357,1.3079939668175413,0.07604759441282982
1987-04-01,0.03358824957365658,0.05738184602251972,-3.911685994647642,0.07818930041152261
1987-07-01,0.03267277285467096,0.06009242417369842,inf,0.07768924302788838
1987-10-01,0.04479297777412938,0.0752243578113918,1.8747826086961608,0.08209693372898119
1988-01-01,0.04242281596142372,0.07437619595794809,-0.5896261450854066,0.08894230769230771
1988-04-01,0.044846046202273504,0.07987166469697216,-0.037768240343347026,0.08874045801526709
1988-07-01,0.041928205272430796,0.08153864579270786,0.6031073446328372,0.09057301293900188
1988-10-01,0.03798903753178795,0.07817800899921212,0.2799109627155787,0.08363802559415001
1989-01-01,0.04315206201577393,0.08630965756108555,0.9153526970953518,0.07549668874172188
1989-04-01,0.03748297017944524,0.08139192098089487,0.27010084491687003,0.06836108676599473
1989-07-01,0.03908120567714901,0.07808875348179534,-0.42949234488313315,0.058898305084745806
1989-10-01,0.027438111777549956,0.06439992969731145,0.43760000000000154,0.05103331927456778
1990-01-01,0.028213017007731045,0.06558363406651813,1.070446735395206,0.054187192118226646
1990-04-01,0.02412763656478467,0.06192735702667451,-0.7624320124319818,0.0660377358490567
1990-07-01,0.01727214308420999,0.05614231923678292,0.5922504490632667,0.07603041216486606
1990-10-01,0.006028759675787088,0.04480344207138143,0.2559658377291718,0.10192616372391661
1991-01-01,-0.009501950623666433,0.02766648600022381,-0.4200298953662429,0.10825545171339557
1991-04-01,-0.005388378142790251,0.027992150372447844,-0.04666666666691621,0.10619469026548667
1991-07-01,-0.0010271852984184981,0.03172357773316414,-0.6179411764706282,0.09111193752324276
1991-10-01,0.011664204321365057,0.043267036186288355,-0.7581997084547712,0.07720320466132558
1992-01-01,0.02858652591919153,0.05433543136590169,-0.7574329224075329,0.0657062543921294
1992-04-01,0.03169571259528037,0.05613003850910947,-0.03086862885857633,0.06260869565217386
1992-07-01,0.0366534967826182,0.058122407623538486,0.45506419400881626,0.06850715746421265
1992-10-01,0.043829767135290076,0.06644749654404003,1.4274593064398204,0.08316430020283971
1993-01-01,0.03320909478216971,0.05757522038779195,2.40133897110634,0.08902077151335308
1993-04-01,0.028078701503631676,0.052262152083146995,0.9401114206130654,0.09787234042553195
1993-07-01,0.022877065695918963,0.048039324823756946,-1.0,0.10430622009569368
1993-10-01,0.02608559043612746,0.049834578268510565,0.16857339765676826,0.10268414481897636
1994-01-01,0.034309402736156125,0.057388417107526735,-0.4438565549676917,0.09869815319406605
1994-04-01,0.042254474939160014,0.06432602788775155,-0.5122282608695641,0.1058437686344662
1994-07-01,0.04336646932126209,0.06523839096740547,inf,0.10658578856152512
1994-10-01,0.04115756449106511,0.06295501770952949,-0.838130298973644,0.10104726861024615
1995-01-01,0.03481122792388702,0.05714683629834627,0.4609218436874676,0.10002755580049594
1995-04-01,0.02402251801802624,0.04609758254908192,1.430647291941935,0.09220814235643027
1995-07-01,0.026732241097901177,0.04802160665386723,-1.0,0.07204385277995295
1995-10-01,0.021996746355449792,0.042560126449843416,3.8759791122707608,0.05784061696658105
1996-01-01,0.02601112101281111,0.04602043340796924,0.46286644951138056,0.046593186372745565
1996-04-01,0.04002061446227456,0.0596020549803673,0.16685934489404852,0.03233769439644529
1996-07-01,0.04049822504514755,0.058346441064020205,inf,0.04236669101533974
1996-10-01,0.04421215112152033,0.06267991116470117,-0.029150823827627903,0.05151883353584452
1997-01-01,0.043140643984745264,0.06280599984647584,-0.4623090934566414,0.061033987553853475
1997-04-01,0.04308066266835975,0.060499773430069625,-0.675625000000057,0.06623625059780003
1997-07-01,0.04673885930725641,0.06535338037397698,-0.34830526096912884,0.06470450829245511
1997-10-01,0.04487859435320707,0.06127724364271092,-0.21687344913149442,0.06470996071180957
1998-01-01,0.048552862413130615,0.06024701485353612,-0.41004339739621787,0.0694789081885856
1998-04-01,0.04095967473191764,0.05292678274292517,0.4796547472259094,0.0679524557075577
1998-07-01,0.04097735156301385,0.052901230926685194,-0.016564417177916346,0.0660377358490567
1998-10-01,0.04879110756250338,0.06024293892235,-0.014669926650299314,0.07749077490774914
1999-01-01,0.04824066557103879,0.06211980402594941,0.3121822249341615,0.07677705125500944
1999-04-01,0.04661367512664505,0.061814002900208775,2.932121212120947,0.09029819403611938
1999-07-01,0.04720387203891896,0.061479337408647305,1.451865222623602,0.09878575838649928
1999-10-01,0.04806649304142585,0.06513746355037364,-0.2692078618225965,0.10999194198227236
2000-01-01,0.041995782894107325,0.06218292276822668,0.2173202614378611,0.15377081292850137
2000-04-01,0.05297737507614797,0.07596760320498874,-0.9196845794392399,0.08763482280431423
2000-07-01,0.040753302004322256,0.06589325435123183,-0.22877030162410927,0.06911406630455152
2000-10-01,0.029734826997560804,0.05451322295198735,-0.0333909038571355,0.03720508166969139
2001-01-01,0.023097095761363207,0.04698877530689494,1.1279310344826778,-0.007640067911714787
2001-04-01,0.010572423861634261,0.03416802965822807,5.801362088534992,0.04126084646715067
2001-07-01,0.005035884805301816,0.026790086072195907,-2.210674157303337,0.05308339173090393
2001-10-01,0.0015348584737264748,0.02119632820114914,-2.9484015703869835,0.07646544181977255
2002-01-01,0.013182794121317176,0.03018014435190164,-0.6419200493903329,0.08571428571428563
2002-04-01,0.013396106341180491,0.027872236389703486,0.4077980185362087,0.09472789115646263
2002-07-01,0.022143660477966343,0.03734862396230221,-1.3957754307948445,0.09965064049243044
2002-10-01,0.020945407221023782,0.03857013699622169,-1.492541436464088,0.07721066319895975
2003-01-01,0.017709260624130696,0.03657028041277788,0.9535655058042436,0.06870469587141503
2003-04-01,0.02028401222956977,0.038525660992212885,-1.3882736156351627,0.06757806431567492
2003-07-01,0.03301806933808593,0.05233554684198616,-0.020685900925290657,0.050226928895612755
2003-10-01,0.04326363415913481,0.06302798464846071,-1.6515478761698774,0.058850158442734335
2004-01-01,0.04304555592447934,0.06587039289196128,0.1042457948996387,0.05234444116779713
2004-04-01,0.04203019253912088,0.07037220865606653,-2.474386339381102,0.04321885913853318
2004-07-01,0.03431594529395743,0.06362870727426562,-2.452556668423763,0.05733218092768655
2004-10-01,0.03281794502831081,0.06399289675872133,-5.876250658241185,0.05629186261935293
