Country Name,2013_GDP_per_Capita,2013_Life_Expectancy_at_Birth,2013_Fertility_Rate,2013_Population,GDP_Per_Capita_log_value,Life_Expectancy_at_Birth_log_value,Fertility_Rate_log_value,Population_log_value
Liberia,479.04,60.53187805,4.792,4293692,6.171784101231264,4.103170136185864,1.5669478608131482,15.27265752685574
Libya,10702.428,75.36168293,2.356,6265987,9.278225910596332,4.322298961892428,0.8569652657893402,15.650646675803324
St. Lucia,7887.682,74.79195122,1.912,182305,8.9730575810682,4.314710275180009,0.6481498146292095,12.11343638760824
Sri Lanka,3204.382,74.24029268,2.339,20483000,8.07227452704894,4.307307030819312,0.849723487602042,16.835105831782794
Lesotho,1190.0339999999999,49.33146341,3.0380000000000003,2083061,7.081737157125991,3.898562080526285,1.111199404173581,14.54934900449987
Lithuania,15648.995,74.16341463,1.6,2957689,9.658161976653886,4.306270964291454,0.47000362924573563,14.899918778118264
Luxembourg,112472.53,81.79756098,1.57,543360,11.630464293032587,4.404247426293754,0.45107561936021673,13.205527362665064
Latvia,15187.458,73.9804878,1.44,2012647,9.628225234646981,4.303801380056536,0.36464311358790924,14.51496132908557
Morocco,3160.2729999999997,70.87212195,2.735,33452686,8.058413695254412,4.260877153816006,1.0061314358739444,17.325642640268384
Moldova,2238.839,68.8115122,1.456,3558566,7.713712706911931,4.23137105942982,0.3756929497744942,15.084868212690116
Madagascar,463.445,64.69139024,4.468,22924557,6.138687715613304,4.169628120627258,1.4969408812069542,16.94771925203787
Maldives,6686.134,77.93536585,2.256,351111,8.80779110865776,4.3558798402265255,0.8135933336358123,12.76885769177113
Mexico,10649.907,77.35402439,2.185,123740109,9.273306438705077,4.348392603978513,0.7816158285475535,18.633694028945992
"Macedonia, FYR",4931.401,75.18802439,1.431,2072543,8.50337840516466,4.319991968141166,0.3583735005743139,14.544286913665376
Mali,645.679,55.013512199999994,6.847,16592097,6.470302476260116,4.007578831422611,1.923810600138926,16.624437055625293
Malta,22892.314,80.74634146,1.43,423374,10.038556500017133,4.391312654079469,0.3576744442718159,12.956011228145037
Myanmar,1113.368,65.09968293,1.9380000000000002,52983829,7.015144934542418,4.17591967869575,0.6616565134685746,17.785497311752344
Montenegro,7112.142,74.75836585,1.666,621207,8.869558743248636,4.3142611237342265,0.5104255437446509,13.339419638705737
Mongolia,3995.639,67.54819512,2.436,2859174,8.29295879534717,4.21284134487826,0.8903573498476506,14.866043329893241
Mozambique,592.6709999999999,50.17336585,5.188,26467180,6.3846394389650625,3.91548432514355,1.6463482664541973,17.09141603282716
Mauritania,1128.021,61.5117561,4.67,3872684,7.028220048905986,4.119228312642035,1.541159071680806,15.169458364669882
Mauritius,9164.872,74.46,1.44,1258653,9.123133194000609,4.310262068444571,0.36464311358790924,14.045552659469623
Malawi,223.398,55.23470732,5.388999999999999,16190126,5.408954934043549,4.011591511496042,1.6843598389513594,16.599912108205373
Malaysia,10456.886999999999,75.01626829,1.964,29465372,9.255016083381648,4.317705000547956,0.6749832099322741,17.198726301322935
Namibia,5636.148,64.34387805,3.051,2346592,8.636956132432484,4.16424179431836,1.1154694057345327,14.668474620778088
Niger,446.526,58.44270732,7.561,18358863,6.101497629304304,4.068046912298167,2.023003456576133,16.72562301313442
Nigeria,3082.492,52.49978049,5.976,172816517,8.033493639739106,3.96080898844598,1.787751447830516,18.967740994257063
Nicaragua,1831.255,74.78817073,2.498,5945646,7.512756803137076,4.314659727153286,0.9154904117033861,15.598169744945451
Netherlands,50815.753,81.10487805,1.72,16804432,10.835961683921191,4.3957431078945115,0.5423242908253617,16.637153219105684
Norway,100578.96800000001,81.45121951,1.85,5079623,11.518698449184154,4.400004307434433,0.6151856390902335,15.440747604202349
Nepal,692.459,68.40385366,2.3,27834981,6.540249030532589,4.2254291630999425,0.8329091229351039,17.141804097005657
New Zealand,40515.94,81.40731707,1.95,4442100,10.609450755909155,4.399465159263444,0.6678293725756554,15.306637795564919
Oman,21455.897,76.85202439,2.853,3906912,9.973754804987939,4.341881811732648,1.048371072231363,15.178257850108091
Pakistan,1274.756,66.58536585,3.185,181192646,7.150510066729444,4.198484821419752,1.1584522890241267,19.015071365760598
Panama,10875.923999999999,77.57895122,2.4659999999999997,3805683,9.294306817864761,4.3512961432300585,0.9025974047421524,15.152006033826638
Peru,6540.9890000000005,74.81460976,2.417,30565461,8.785843656259752,4.315013183555482,0.8825271017213459,17.23538120394205
Philippines,2790.8779999999997,68.7144878,3.043,97571676,7.93411152064972,4.229960062002465,1.112843870914834,18.396097804347693
Papua New Guinea,2098.131,62.43073171,3.781,7308864,7.648802227426367,4.134057649491914,1.329988524908796,15.804598416092805
Poland,13435.263,76.84878049,1.3,38040196,9.50563809659301,4.341839601153426,0.26236426446749106,17.454153948099272
Portugal,20995.33,80.37317073,1.28,10457295,9.95205531102287,4.3866804231074985,0.2468600779315258,16.162810378950716
Paraguay,4281.096,72.2734878,2.864,6465669,8.361964330560651,4.280457364819463,1.052219249098399,15.682017045112802
Qatar,98985.98599999999,78.60690244,2.019,2101288,11.502733563541238,4.364459512882246,0.7026023393307005,14.558061048014968
Romania,8873.971,74.46341463,1.53,19983693,9.09087766395966,4.310307925974887,0.4252677354043441,16.810427148939663
Russia,14591.33,71.07317073,1.7,143506911,9.588182795689786,4.2637099200268205,0.5306282510621704,18.781893752283025
Rwanda,703.797,63.99397561,4.508,11078095,6.556489962303805,4.158788947835313,1.50585359617753,16.22048029309357
Saudi Arabia,24953.086,75.70336585,2.6439999999999997,30201051,10.124752780905762,4.326822622466842,0.9722929219894397,17.22338728306405
Sudan,1941.3729999999998,62.044487800000006,4.42,38515095,7.571150733691975,4.127851672893934,1.4861396960896067,17.46656080033763
Senegal,1047.53,63.35073171,4.934,14221041,6.954190291004325,4.148686456976687,1.596150018107165,16.47023318641094
Singapore,55182.483,82.34634146,1.19,5399200,10.918400844946639,4.410934028921514,0.17395330712343798,15.501761352411334
Solomon Islands,1936.239,67.71690244,4.031000000000001,560685,7.56850271063037,4.21533581552181,1.3940144841350288,13.236914529479971
Sierra Leone,805.1339999999999,45.55095122,4.705,6178859,6.6910087231930255,3.818831506473651,1.548625773037343,15.636644184556342
El Salvador,3835.215,72.33892683,2.184,6089644,8.251980774811395,4.281362391329587,0.7811580578826587,15.62210018149139
Serbia,5902.4890000000005,75.13658537,1.45,7164132,8.68312940534082,4.3193075955412334,0.371563556432483,15.78459746745363
South Sudan,1289.4189999999999,55.24121951,4.92,11453810,7.161947008303861,4.011709404872353,1.5933085305042167,16.25383298370686
Sao Tome and Principe,1688.7261079999998,66.26097561,4.075,182386,7.431729741431916,4.193601120729547,1.404870746692826,12.113880599290635
Suriname,9205.688,71.03163415,2.2680000000000002,533450,9.127576832862186,4.263125329221211,0.8188983858655058,13.187120624619608
Slovak Republic,17706.314,76.26097561,1.34,5413393,9.781676578115182,4.334161347555034,0.29266961396282004,15.50438662613644
Slovenia,23316.676,80.27804878,1.58,2059953,10.056924091711355,4.385496218450898,0.4574248470388755,14.538193724971505
Sweden,58014.168,81.70487805,1.91,9600379,10.968442535560134,4.403113706937919,0.6471032420585384,16.07731313482545
Swaziland,3473.3909999999996,48.93792683,3.3339999999999996,1250641,8.152886629188565,3.890552695654238,1.204172784328602,14.039166777841496
Seychelles,14918.411,74.22682927,2.4,89900,9.610351366745599,4.307125665277096,0.8754687373538999,11.406453220459712
Chad,1218.265,51.15907317,6.263,13145788,7.105182994391504,3.9349398602447416,1.8346593035432759,16.391611961097198
Togo,636.543,56.488512199999995,4.638999999999999,6928719,6.456051972667675,4.0340372935854845,1.5344988257696064,15.75118550559465
Thailand,5675.8,74.36507317,1.399,67451422,8.643966801577381,4.308986384974689,0.3357576956833441,18.026918222678983
Tajikistan,1044.9460000000001,67.37460976,3.815,8111894,6.951720488422583,4.210268237153018,1.3389406647364204,15.908841937666583
Turkmenistan,7157.036,65.46258537,2.326,5240088,8.875851207766466,4.181478763710159,0.8441500540964727,15.471848850049339
Timor-Leste,4142.363,67.52236585,5.2,1180069,8.329021676937298,4.212458888921472,1.6486586255873816,13.981083469308548
Tonga,4572.056,72.64231707,3.767,105139,8.427718273308631,4.285547631774396,1.326278928709904,11.563038563200188
Trinidad and Tobago,20622.308999999997,69.92521951,1.797,1348240,9.934128729963302,4.24742637830369,0.586118607801422,14.1143105961499
Tunisia,4316.795,73.64634146,2.25,10886500,8.370268507747385,4.299274466997283,0.8109302162163288,16.20303404747451
Turkey,10721.063,75.17595122,2.041,75010202,9.279965590156483,4.319831382203252,0.7134398838277077,18.133134688916464
Tanzania,719.2589999999999,61.49314634,5.2139999999999995,50213457,6.5782215153877805,4.118925726976377,1.6513473155113099,17.731793616467307
Uganda,622.585,59.19,5.867000000000001,36573387,6.43388016520202,4.080752608702634,1.769343429943723,17.41483140273598
Ukraine,3929.973,71.1595122,1.506,45489600,8.276387834610698,4.264924007799434,0.40945712937770185,17.632994286366177
Uruguay,16421.39,77.05141463,2.046,3407969,9.706340032285931,4.344472921493756,0.7158866675294346,15.041627070645841
United States,53000.972,78.84146341,1.8695,316497531,10.878065531988732,4.367439043882927,0.6256710154350313,19.57282599857021
Uzbekistan,1878.4129999999998,68.22758537,2.2,30243200,7.538182550393475,4.222848960636399,0.7884573603642703,17.224781923782874
St. Vincent and the Grenadines,6563.096,72.50097561,1.9969999999999999,109327,8.789217721823698,4.283600018459744,0.6916460544336781,11.60209867019108
"Venezuela, RB",7576.276,74.64309756,2.39,30276045,8.932777065036541,4.312718055677987,0.8712933659434193,17.225867363735894
Vietnam,1901.6970000000001,75.7564878,1.743,89708900,7.550501924421098,4.327524088246691,0.5556077665378839,18.312080541728044
Vanuatu,2995.755,71.68682927,3.3819999999999997,253165,8.00495156559236,4.272307038542419,1.2184672504763885,12.441796729049713
Samoa,4164.97,73.26487805,4.147,190390,8.33446435169385,4.294081340583041,1.4223851812642443,12.156829878951722
Republic of Yemen,1515.9460000000001,63.08958537,4.075,25533217,7.323794945515138,4.144555706321179,1.404870746692826,17.05549078989656
South Africa,6621.121999999999,56.73658537,2.387,53157490,8.798020120974689,4.038419247273711,0.870037347356693,17.788769574742766
Democratic Republic of the Congo,388.305,49.94385366,5.933,72552861,5.96179111329649,3.910899447673459,1.7805299872765061,18.09982597138944
Zambia,1845.4189999999999,58.09278049,5.687,15246086,7.520461630962267,4.062041396068097,1.7381828683246627,16.53983337233827
Zimbabwe,1006.825,59.773487800000005,3.486,14898092,6.914557094101065,4.0905622148227945,1.2487549470978292,16.516743709024837
